,index,0
0,not,46
1,trump,18
2,god,11
3,would,8
4,vote,8
5,people,8
6,you,8
7,republican,8
8,biden,8
9,supporter,7
10,news,7
11,fox,7
12,like,7
13,get,7
14,know,7
15,state,7
16,president,6
17,bless,6
18,watch,6
19,thank,6
20,democrat,5
21,country,5
22,newsmax,5
23,maga,5
24,antifa,5
25,amen,5
26,blm,5
27,pray,5
28,party,5
29,parler,5
30,virus,5
31,need,5
32,election,5
33,network,4
34,back,4
35,jesus,4
36,death,4
37,tucker,4
38,lord,4
39,one,4
40,time,4
41,follow,4
42,take,4
43,want,4
44,police,4
45,twitter,4
46,account,4
47,america,4
48,will,4
49,watching,4
50,flu,3
51,facebook,3
52,content,3
53,joe,3
54,rinos,3
55,glad,3
56,rino,3
57,never,3
58,praying,3
59,welcome,3
60,oan,3
61,capitol,3
62,cnn,3
63,prayer,3
64,hannity,3
65,court,3
66,nut,3
67,covid,3
68,communist,3
69,gop,3
70,bitch,3
71,ballot,3
72,vaccine,3
73,evil,3
74,prevail,3
75,post,3
76,american,3
77,peaceful,3
78,patriot,3
79,protest,3
80,going,3
81,china,3
82,have,2
83,see,2
84,hunter,2
85,bye,2
86,voting,2
87,defund,2
88,love,2
89,fang,2
90,light,2
91,senator,2
92,fraud,2
93,penny,2
94,senate,2
95,face,2
96,color,2
97,deleted,2
98,coward,2
99,even,2
100,swalwell,2
101,military,2
102,new,2
103,merry,2
104,scotus,2
105,capital,2
106,beijing,2
107,tech,2
108,matter,2
109,cia,2
110,russia,2
111,christ,2
112,that,2
113,happy,2
114,supreme,2
115,they,2
116,recount,2
117,big,2
118,think,2
119,cruz,2
120,black,2
121,chinese,2
122,proud,2
123,anything,2
124,barr,2
125,flynn,2
126,cannot,2
127,truly,2
128,suck,2
129,look,2
130,doj,2
131,shit,2
132,basement,2
133,year,2
134,mask,2
135,boy,2
136,texas,2
137,treason,2
138,fuck,2
139,fbi,2
140,right,2
141,are,2
142,christmas,2
143,doe,2
144,durham,1
145,duck,1
146,penalty,1
147,county,1
148,trumptrain,1
149,ankle,1
150,history,1
151,voterfraud,1
152,pardon,1
153,well,1
154,drink,1
155,ppl,1
156,apple,1
157,best,1
158,epstein,1
159,faith,1
160,good,1
161,stop,1
162,oann,1
163,traitor,1
164,general,1
165,test,1
166,woman,1
167,sleepy,1
168,dominion,1
169,kemp,1
170,wray,1
171,hole,1
172,social,1
173,retard,1
174,banned,1
175,coffee,1
176,commie,1
177,move,1
178,ago,1
179,sentence,1
180,massupvote,1
181,speed,1
182,harris,1
183,system,1
184,parlor,1
185,spy,1
186,fauci,1
187,family,1
188,piece,1
189,audit,1
190,keep,1
191,team,1
192,little,1
193,government,1
194,runoff,1
195,domestic,1
196,mike,1
197,gate,1
198,riot,1
199,justice,1
200,wait,1
201,name,1
202,sound,1
203,great,1
204,obama,1
205,part,1
206,say,1
207,rid,1
208,voter,1
209,stand,1
210,way,1
211,mitch,1
212,law,1
213,kamala,1
214,case,1
215,machine,1
216,congress,1
217,fake,1
218,let,1
219,True,1
220,tribunal,1
221,house,1
222,wwg,1
223,food,1
224,ever,1
225,blue,1
226,rumble,1
227,reset,1
228,bill,1
229,coming,1
230,video,1
231,last,1
232,red,1
233,ice,1
234,judge,1
235,dementia,1
236,georgia,1
237,racist,1
238,stopthesteal,1
239,eat,1
240,jail,1
241,constitution,1
242,hang,1
243,white,1
244,ball,1
245,cream,1
246,evidence,1
247,prison,1
248,echo,1
249,medium,1
250,did,1
251,ccp,1
252,terrorist,1
253,money,1
254,lol,1
255,donald,1
256,make,1
257,wga,1
258,turkey,1
259,florida,1
260,put,1
261,care,1
262,world,1
263,fucking,1
264,dead,1
265,corrupt,1
266,paid,1
267,win,1
268,away,1
269,many,1
270,squad,1
271,race,1
272,kag,1
273,app,1
274,truth,1
275,dan,1
276,chris,1
277,lawsuit,1
278,treasonous,1
279,racism,1
280,wallace,1
281,electionfraud,1
282,hollywood,1
283,google,1
284,eating,1
285,california,1
286,firing,1
287,concede,1
288,order,1
289,lmao,1
290,elector,1
291,burn,1
292,war,1
293,dems,1
294,count,1
