,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
-1,not,trump,people,get,like,need,would,one,know,election
Topic 0,twitter,facebook,account,parler,google,deleted,app,not,banned,apple
Topic 1,fox,news,tucker,newsmax,watch,cnn,bye,hannity,network,not
Topic 2,eat,cream,ice,food,eating,turkey,like,not,coffee,drink
Topic 3,god,jesus,lord,praying,christ,pray,bless,amen,light,prayer
Topic 4,court,evidence,case,supreme,lawsuit,not,judge,scotus,state,texas
Topic 5,president,joe,biden,ever,never,trump,basement,history,not,best
Topic 6,texas,state,red,blue,california,florida,color,county,move,not
Topic 7,jail,prison,treason,need,death,put,time,penalty,sentence,not
Topic 8,doe,not,know,like,matter,care,want,even,trump,anything
Topic 9,vaccine,virus,not,covid,take,flu,get,people,speed,would
