,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
Topic 0,law,constitution,court,congress,senator,capitol,corrupt,military,justice,system
Topic 1,not,people,know,get,would,going,want,think,take,one
Topic 2,election,trump,state,not,republican,vote,fraud,party,need,democrat
Topic 3,are,you,they,going,coming,will,not,get,wait,black
Topic 4,not,would,twitter,parler,video,have,get,account,post,see
Topic 5,like,antifa,look,blm,police,war,shit,woman,name,fuck
Topic 6,god,trump,president,patriot,love,you,thank,penny,great,america
Topic 7,biden,year,trump,president,last,joe,communist,vote,obama,ago
Topic 8,news,watch,china,fake,money,fox,paid,traitor,coward,commie
Topic 9,supporter,big,medium,trump,lol,follow,maga,tech,part,social
