,Word 1,Word 2,Word 3,Word 4,Word 5,Word 6,Word 7,Word 8,Word 9,Word 10
Topic 0,trump,supporter,suck,would,donald,maga,win,know,republican,team
Topic 1,you,are,they,time,have,back,know,that,thank,will
Topic 2,not,doe,did,will,know,even,would,want,say,anything
Topic 3,president,god,biden,country,america,never,trump,love,bless,year
Topic 4,election,vote,biden,state,fraud,democrat,ballot,republican,voter,voting
Topic 5,need,country,back,take,make,would,state,stop,stand,time
Topic 6,going,think,one,right,take,know,that,cannot,democrat,would
Topic 7,get,not,cannot,let,will,back,away,time,way,rid
Topic 8,people,american,god,know,want,country,many,america,government,right
Topic 9,like,would,news,one,look,fox,see,good,never,sound
